iter	Logloss
0	0.6781783449
1	0.6638846602
2	0.6494704548
3	0.6355642246
4	0.6227287119
5	0.6113774927
6	0.5976091316
7	0.5848899656
8	0.5720229663
9	0.5574688593
10	0.5458814975
11	0.5355721439
12	0.5235743295
13	0.5130894242
14	0.5020938441
15	0.4933450209
16	0.4826765815
17	0.4739927718
18	0.4626115832
19	0.4521061302
20	0.4438170023
21	0.4349106828
22	0.4254659418
23	0.4170206642
24	0.4089825129
25	0.4013746756
26	0.3953348163
27	0.388764977
28	0.3804689888
29	0.3733833043
30	0.3663577306
31	0.3606499382
32	0.3542056396
33	0.3477065342
34	0.3426518843
35	0.3381309779
36	0.3324906452
37	0.3268875148
38	0.3217104399
39	0.3154702894
40	0.3088408349
41	0.3026911503
42	0.2980114906
43	0.2921319449
44	0.2874337272
45	0.2824912466
46	0.2776981214
47	0.2738182294
48	0.2687244491
49	0.2643866613
50	0.2596962123
51	0.2547605393
52	0.2508399839
53	0.2468790236
54	0.2442721987
55	0.2411586006
56	0.2383573996
57	0.2342779109
58	0.2309792795
59	0.2275476071
60	0.2238818669
61	0.2206137538
62	0.2176204322
63	0.2142445914
64	0.2111441725
65	0.2083673992
66	0.2053229379
67	0.2019970074
68	0.199347048
69	0.1966588589
70	0.1936789705
71	0.1916371919
72	0.1888886709
73	0.1865694138
74	0.1845737194
75	0.1822410062
76	0.1793934172
77	0.1774254742
78	0.1753859852
79	0.1732198205
80	0.1712764796
81	0.169091927
82	0.1668804261
83	0.1646724289
84	0.1625341455
85	0.1607236918
86	0.1591655817
87	0.1568945084
88	0.1553387481
89	0.1536589282
90	0.151977565
91	0.1504461253
92	0.1486000267
93	0.1473470121
94	0.1457528139
95	0.1441691388
96	0.1425991314
97	0.1409195299
98	0.1394672101
99	0.1387883974
100	0.1376258679
101	0.1360683877
102	0.1346401769
103	0.134035182
104	0.1326004884
105	0.1312903653
106	0.129984742
107	0.1286836005
108	0.1274142785
109	0.1265345804
110	0.125209169
111	0.1242152716
112	0.1230380928
113	0.122089639
114	0.1210395856
115	0.1201481128
116	0.1191567701
117	0.1178388754
118	0.1166867221
119	0.1156239222
120	0.1148852723
121	0.1144897867
122	0.1135848392
123	0.1124000658
124	0.1111210105
125	0.1102226291
126	0.1095238786
127	0.108815617
128	0.1077532314
129	0.1067728407
130	0.1061212821
131	0.1052985422
132	0.1044150249
133	0.1037555251
134	0.1031223113
135	0.1022449866
136	0.1012358084
137	0.1003727532
138	0.09962179968
139	0.09901475968
140	0.09810667276
141	0.09747496398
142	0.09663018238
143	0.09590313519
144	0.09509599331
145	0.09440249531
146	0.09367720686
147	0.09311852502
148	0.09235395459
149	0.09175035255
150	0.09114080556
151	0.09055783062
152	0.09007173583
153	0.08960805723
154	0.0889675422
155	0.08856011598
156	0.08808459914
157	0.08746984676
158	0.08690902925
159	0.0863140748
160	0.08580846543
161	0.0853087763
162	0.08471762221
163	0.08427116025
164	0.08374984037
165	0.08316969156
166	0.08267877237
167	0.08216476555
168	0.0816033205
169	0.08111035069
170	0.08058376636
171	0.08016134677
172	0.07975382849
173	0.07926335246
174	0.07881056572
175	0.07843279648
176	0.07811226339
177	0.07765940839
178	0.07728429366
179	0.07694851877
180	0.0764728385
181	0.07608241204
182	0.07561896377
183	0.07513042026
184	0.07480042383
185	0.07435677874
186	0.07402705614
187	0.07373873635
188	0.07324376247
189	0.07290157691
190	0.07270590921
191	0.07240057281
192	0.07205124787
193	0.07155140202
194	0.07126313238
195	0.07089229035
196	0.0705272987
197	0.07011089417
198	0.0698270919
199	0.06942803643
200	0.06910330504
201	0.06873053743
202	0.06852641515
203	0.06822920838
204	0.06794984169
205	0.0677304876
206	0.06744053624
207	0.0671941573
208	0.06681760642
209	0.0664788823
210	0.06622990771
211	0.06601980142
212	0.06577482561
213	0.06560502043
214	0.06527088268
215	0.06501984984
216	0.06483408644
217	0.06467292824
218	0.06432606037
219	0.06399407553
220	0.063702422
221	0.06340966966
222	0.06313057734
223	0.06286789082
224	0.06250175987
225	0.06221946895
226	0.06188572081
227	0.06162636714
228	0.0613960113
229	0.06103804296
230	0.06081532961
231	0.06054246223
232	0.06031611053
233	0.06009215949
234	0.05986799152
235	0.05963380857
236	0.05944570668
237	0.05924652003
238	0.05901983448
239	0.05877451609
240	0.05861645665
241	0.05844882258
242	0.05821800574
243	0.05794211654
244	0.05771272969
245	0.05747359465
246	0.05729142528
247	0.05712056238
248	0.05697245651
249	0.05677271379
250	0.05658086803
251	0.05645940671
252	0.0562359036
253	0.05609222959
254	0.05587121997
255	0.05569862198
256	0.05553761954
257	0.0553276802
258	0.05512672001
259	0.05491706949
260	0.05475646063
261	0.05456802782
262	0.05431809055
263	0.05413725235
264	0.05388333889
265	0.0537805674
266	0.0536020556
267	0.05344666448
268	0.05323362687
269	0.05302757386
270	0.0528644312
271	0.05274284038
272	0.05257031994
273	0.05237990812
274	0.05215854132
275	0.05202279554
276	0.05181545542
277	0.05161548052
278	0.05149262514
279	0.05140203958
280	0.05121966166
281	0.05108679001
282	0.05088524277
283	0.05074140289
284	0.05059530657
285	0.05042509524
286	0.05017107601
287	0.04998773157
288	0.04979679749
289	0.04960076468
290	0.04942096152
291	0.04925075537
292	0.04913115862
293	0.04900093727
294	0.04881132743
295	0.04868481565
296	0.04852567083
297	0.04841011264
298	0.04825625526
